"Version control","Versionsverwaltung"
"type changed:---","Typänderung:----"
"unmerged:-------","nicht gemerged:-"
"unknown:--------","unbekannt:------"
"pairing broken:-","pairing broken:-"
"For the current diff","Für den aktuellen diff"
"%s (not available)","%s (nicht verfügbar)"
"1) Locking and configuration check","1) Verriegelung und Überprüfung der Konfiguration"
"Repository: %s / Branch: %s / Current revision: %s / Requested revision: %s","Repository: %s / Zweig: %s / Aktuelle Überarbeitung: %s / Angefragte Überarbeitung: %s"
"Repository: %s / Current revision: %s / Requested revision: %s","Repository: %s / Aktuelle Überarbeitung: %s / Angefragte Überarbeitung: %s"
"2) Updating","2) Update"
"3) Cache","3) Cache"
"4) Unlocking","4) Entriegelung"
"Update completed (revision %s)","Update beendet (Überarbeitung %s)"
"Update to revision %s completed.","Update zur Überarbeitung %s beendet."
"Update error (revision %s)","Update gescheitert (Überarbeitung %s)"
"Please wait, an update is in progress.","Bitte warten, Update ist im Laufe."
"You are not authorized to perform this operation.","Sie sind nicht erlaubt, diesen Vorgang durchzuführen."
"Please configure the module before using it.","Konfigurieren Sie den Modul vor Benutzung."
"Updating","Update"
"Starting update (revision %s)","Beginn der Update (Überarbeitung %s)"
"Do not touch anything / Do not try to cancel this operation","Nichts mehr bewegen / Versuchen Sie nicht, diese Verarbeitung zu annullieren"
"Back to Magento in one second","Zurück auf Magento in einer Sekunde"
"error404_pagetitle","Ups"
"error404_title","Seite unfindbar"
"error404_content","<p>Die angefragte Seite existiert nicht oder nicht mehr.</p>"
"error503_pagetitle","Ups"
"error503_title","Service vorübergehend nicht zugänglich"
"error503_content","<p>Der Server ist wegen Wartungsarbeiten oder technischer Probleme vorübergehend nicht verfügbar.</p>"
"upgrade_pagetitle","Ups"
"upgrade_title","Service vorübergehend nicht zugänglich"
"upgrade_content","<p>Der Server ist wegen Wartungsarbeiten vorübergehend nicht verfügbar.</p>"
"report_pagetitle","Ups"
"report_title","Es gab einen Fehler während der Bearbeitung Ihrer Anfrage"
"report_content","<p>Der Server ist aufgrund eines technischen Problems vorübergehend nicht verfügbar.</p>"
"Error number: §","Fehlernummer: §"
